"id","number","password","first_name","last_name","date_of_birth","phone","status","photo","role_id","locale","email"
"1","84562311","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Julia","Cross","1990-02-13","+380991234560","enabled","84562311.jpg","3","en",""
"2","82834752","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Володимир","Тимчук","1995-05-14","+380991234561","enabled","82834752.jpg","3","uk",""
"3","82635494","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Тарас","Бульба","1998-03-18","+380991234562","enabled","82635494.jpg","3","uk",""
"4","85423997","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Олег","Винник","1997-03-16","+380991234563","enabled","85423997.jpg","3","uk",""
"5","86235412","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Вікторія","Сікрет","1989-10-19","+380991234564","enabled","86235412.jpg","3","uk",""
"6","84653416","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Аліна","Степаненко","1991-09-18","+380991234565","enabled","84653416.jpg","3","uk",""
"7","81764822","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Володимир","Остапенко","1991-04-19","+380991234566","disabled","81764822.jpg","3","uk",""
"8","89000234","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Олексій","Арестович","2000-11-10","+380991234567","enabled","89000234.jpg","3","uk",""
"9","alan","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Алан","Прок","1979-02-11","+380991234568","enabled","alan.jpg","2","uk",""
"10","mery","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Марія","Костенко","1985-06-14","+380991234569","enabled","mery.jpg","1","uk",""
"11","admin","8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918","Адміністратор","Систем","1990-05-18","+380991234570","enabled","admin.jpg","1","uk",""
"12","89000235","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Павло","Завгородній","2022-05-30","+380635919450","enabled","89000235.jpg","3","en",""
"15","nemo","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Captain","Nemo","1990-01-18","+380631111111","enabled","_blank.png","2","uk",""
"16","89000236","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","First","Last","2000-01-01","+380991234567","enabled","_blank.png","3","en",""
"17","nemor","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Павло","Петро","2000-01-01","+380631111111","disabled","_blank.png","2","uk",""
"18","89000237","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Неллі","Тейлор","2001-05-05","+380631111113","enabled","89000237.jpg","3","uk",""
"19","89000238","ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","Петро","Петренко","2000-01-10","+380631111111","enabled","_blank.png","3","en",""
